Rank,Player,Goals,Assists,PPG,GP
1,Wayne Gretzky,894,1963,204,1487
2,Gordie Howe,801,1049,211,1767
3,Jaromir Jgr,766,1155,217,1733
4,Brett Hull,741,650,265,1269
5,Marcel Dionne,731,1040,234,1348
6,Phil Esposito,717,873,246,1282
7,Alex Ovenichkin *,711,579,262,1166
8,Mike Gartner,708,627,217,1432
9,Mark Messier,694,1193,179,1756
10,Steve Yzerman,692,1063,202,1514
11,Mario Lemieux,690,1033,236,915
12,Teemu Selanne,684,773,255,1451
13,Luc Robitaille,668,726,247,1431
14,Brendan Shanahan,656,698,237,1524
15,Dave Andreychuk,640,698,274,1639
16,Jarome Iginla,625,675,205,1378
17,Joe Sakic,625,1016,197,1554
18,Bobby Hull,610,560,154,1063
19,Dino Ciccarelli,608,592,232,1232
20,Jari Kurri,601,797,155,1251
21,Mark Recchi,577,956,200,1652
22,Mike Bossy,573,553,180,752
23,Mats Sundin,564,785,215,1257
24,Joe Nieuwendyk,564,562,160,1346
25,Patrick Marleau *,562,628,170,1740
